,GM#,BOS,NYY,BAL,TBR,TOR,CHW,CLE,DET,KCR,MIN,HOU,LAA,OAK,SEA,TEX,ATL,MIA,NYM,PHI,WSN,CHC,CIN,MIL,PIT,STL,ARI,COL,LAD,SDP,SFG
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,1,-1,1,-1,-1,-1,1
2,2,0,2,0,0,-2,2,0,-2,-2,0,0,0,0,0,0,0,0,2,0,2,0,-2,2,2,-2,2,-2,-2,-2,2
3,3,1,1,-1,-1,-1,1,-1,-3,-3,1,1,1,-1,1,-1,1,-1,1,-1,3,1,-3,3,3,-1,1,-1,-1,-3,1
4,4,2,0,-2,-2,0,0,0,-2,-2,0,2,2,-2,2,-2,0,0,2,-2,4,0,-2,2,4,0,2,0,0,-4,0
5,5,3,1,-3,-3,1,1,-1,-3,-3,1,3,1,-1,1,-3,1,-1,3,-3,3,-1,-3,3,3,-1,3,-1,-1,-3,-1
6,6,4,2,-4,-4,2,0,-2,-2,-2,2,4,2,-2,0,-2,2,-2,4,-2,2,0,-4,2,4,0,4,0,-2,-4,0
7,7,5,1,-3,-5,1,-1,-1,-1,-3,1,5,3,-1,1,-3,3,-3,5,-1,1,-1,-3,1,5,-1,5,1,-3,-5,1
8,8,6,0,-2,-6,2,-2,-2,0,-2,0,4,4,-2,0,-2,2,-4,6,-2,0,0,-4,2,4,0,4,0,-4,-4,0
9,9,7,1,-3,-7,1,-3,-1,-1,-3,1,5,3,-3,1,-3,3,-3,7,-1,-1,1,-5,1,5,-1,5,1,-3,-5,-1
10,10,8,0,-2,-6,2,-4,0,-2,-4,2,6,4,-2,2,-2,2,-4,8,0,0,0,-6,0,6,-2,6,0,-2,-6,0
11,11,7,-1,-3,-5,3,-3,1,-3,-5,3,7,5,-3,3,-3,1,-5,9,1,1,1,-7,1,5,-1,5,-1,-3,-5,-1
12,12,8,0,-4,-6,4,-4,2,-4,-6,2,6,6,-4,4,-4,2,-6,10,2,0,0,-8,0,6,-2,6,-2,-4,-4,0
13,13,9,-1,-3,-7,3,-5,3,-5,-7,3,5,7,-3,3,-5,3,-5,9,3,-1,-1,-9,1,5,-1,7,-1,-5,-5,-1
14,14,10,0,-4,-8,4,-6,2,-4,-8,2,6,8,-4,4,-6,2,-6,10,4,-2,0,-10,0,6,0,8,0,-4,-6,-2
15,15,11,1,-5,-9,5,-7,3,-3,-9,1,5,9,-5,3,-7,3,-7,9,3,-1,-1,-11,1,7,1,7,1,-3,-5,-3
